customer_id,name,region,quarter,number_of_purchases,total_transaction_amount
CUST00001,David Schwartz,Kelantan,Q1-2025,24.0,14762.51
CUST00001,David Schwartz,Kelantan,Q2-2025,21.0,5744.74
CUST00001,David Schwartz,Kelantan,Q3-2025,14.0,14654.86
CUST00001,,Kelantan,Q4-2025,23.0,991.57
CUST00002,Michelle Perez,Negeri Sembilan,Q1-2025,11.0,1558.18
CUST00002,Michelle Perez,,Q2-2025,4.0,2487.52
CUST00002,Michelle Perez,Negeri Sembilan,Q3-2025,2.0,11744.6
CUST00002,Michelle Perez,Negeri Sembilan,Q4-2025,7.0,12227.55
CUST00003,James Joseph,Kedah,Q1-2025,19.0,10805.19
CUST00003,James Joseph,Kedah,Q2-2025,19.0,7092.95
CUST00003,James Joseph,Kedah,Q3-2025,10.0,243.42
CUST00003,James Joseph,Kedah,Q4-2025,24.0,826.61
CUST00004,Karen Williams,Terengganu,Q1-2025,19.0,
CUST00004,Karen Williams,Terengganu,Q2-2025,7.0,5698.96
CUST00004,,Terengganu,Q3-2025,5.0,14410.61
CUST00004,Karen Williams,Terengganu,Q4-2025,11.0,1852.3
CUST00005,Misty Velazquez,Johor,Q1-2025,9.0,7449.33
CUST00005,Misty Velazquez,,Q2-2025,19.0,764.96
CUST00005,Misty Velazquez,Johor,Q3-2025,17.0,10968.25
CUST00005,Misty Velazquez,Johor,Q4-2025,23.0,4465.32
CUST00006,Melissa Carey,Melaka,Q1-2025,14.0,10098.05
CUST00006,Melissa Carey,Melaka,Q2-2025,,1500.3
CUST00006,Melissa Carey,Melaka,Q3-2025,20.0,11403.12
CUST00006,Melissa Carey,,Q4-2025,13.0,9916.54
CUST00007,,Kelantan,Q1-2025,22.0,110.01
CUST00007,Justin Castillo,Kelantan,Q2-2025,20.0,8821.36
CUST00007,Justin Castillo,Kelantan,Q3-2025,18.0,11661.2
CUST00007,Justin Castillo,Kelantan,Q4-2025,19.0,10281.2
CUST00008,Jamie Cameron,Labuan,Q1-2025,12.0,4603.13
CUST00008,Jamie Cameron,Labuan,Q2-2025,0.0,13755.88
CUST00008,Jamie Cameron,Labuan,Q3-2025,14.0,14224.07
CUST00008,Jamie Cameron,Labuan,Q4-2025,15.0,13882.94
CUST00009,Erika Gibson MD,Terengganu,Q1-2025,21.0,1357.63
CUST00009,Erika Gibson MD,Terengganu,Q2-2025,23.0,13971.0
CUST00009,Erika Gibson MD,Terengganu,Q3-2025,8.0,14276.26
CUST00009,Erika Gibson MD,Terengganu,Q4-2025,23.0,11629.8
CUST00010,Yvette Taylor,Kuala Lumpur,Q1-2025,2.0,11584.36
